Dataset,Number of Hyperboxes,Gamma Values,Accuracy,F1_Score,Time
sonar_sim6,2,0.0,0.7142857142857143,0.7142857142857143,0.10168290138244629
sonar_sim7,4,0.0,0.6507936507936508,0.6495464852607709,0.08376717567443848
sonar_sim8,16,0.0,0.6507936507936508,0.6314354727398206,0.12561702728271484
sonar_sim9,4,0.0,0.6507936507936508,0.6495464852607709,0.08374881744384766
sonar_sim10,4,0.0,0.6349206349206349,0.6114834411130707,0.1015782356262207
spectf_sim1,16,0.0,0.8761904761904762,0.8682807284404445,0.12753748893737793
spectf_sim2,8,0.0,0.8666666666666667,0.8541534110993284,0.15219736099243164
spectf_sim3,16,0.0,0.8761904761904762,0.8631842231842232,0.11124944686889648
spectf_sim4,16,0.0,0.8952380952380953,0.8885452317572993,0.13302087783813477
spectf_sim5,4,0.0,0.8857142857142857,0.8844155844155845,0.14701008796691895
spectf_sim6,16,0.0,0.8476190476190476,0.8298023261878684,0.11013531684875488
spectf_sim7,2,0.0,0.8095238095238095,0.7916477301418976,0.10714173316955566
spectf_sim8,16,0.0,0.8380952380952381,0.8210870610870611,0.1499950885772705
spectf_sim9,16,0.0,0.8380952380952381,0.8277517218067352,0.1382582187652588
spectf_sim10,16,0.0,0.8761904761904762,0.8631842231842232,0.11124372482299805
vehicle_sim1,16,0.0,0.531496062992126,0.5266176438688966,0.6098546981811523
vehicle_sim2,2,0.0,0.515748031496063,0.5181098613076548,0.3978087902069092
vehicle_sim3,2,0.0,0.6220472440944882,0.6162435732270306,0.33446526527404785
vehicle_sim4,2,0.0,0.6496062992125984,0.6466247559733073,0.34983229637145996
vehicle_sim5,2,0.0,0.6732283464566929,0.6704352725570197,0.33040738105773926
vehicle_sim6,2,0.0,0.5905511811023622,0.5963749399962115,0.3738574981689453
vehicle_sim7,2,0.0,0.5826771653543307,0.5930729199922993,0.4602084159851074
vehicle_sim8,16,0.0,0.6023622047244095,0.5999626747463448,0.5017364025115967
vehicle_sim9,4,0.0,0.5275590551181102,0.5289598393217704,0.39684152603149414
vehicle_sim10,2,0.0,0.5669291338582677,0.5697596493914895,0.7231085300445557
wine_recognition_sim1,4,0.0,0.9259259259259259,0.9264964920137335,0.023067712783813477
wine_recognition_sim2,16,0.0,0.8333333333333334,0.8252297410192148,0.03245663642883301
wine_recognition_sim3,16,0.0,0.9259259259259259,0.9248027932238458,0.03615427017211914
wine_recognition_sim4,8,0.0,0.8703703703703703,0.8704826038159372,0.02757549285888672
wine_recognition_sim5,8,0.0,0.9444444444444444,0.94371534996535,0.02819204330444336
wine_recognition_sim6,4,0.0,0.9444444444444444,0.9446597948122338,0.023032426834106445
wine_recognition_sim7,8,0.0,0.9444444444444444,0.9440171879196271,0.024710416793823242
wine_recognition_sim8,2,0.0,0.9629629629629629,0.9629970984809694,0.024981021881103516
wine_recognition_sim9,4,0.0,0.9444444444444444,0.9442998004403061,0.025861024856567383
wine_recognition_sim10,2,0.0,0.9444444444444444,0.9440656234519336,0.02519702911376953
