Dataset,Number of Hyperboxes,Gamma Values,Accuracy,F1_Score,Time
sonar_sim10,16,0.0,0.6507936507936508,0.6087670727205611,0.07796216011047363
spectf_sim1,4,0.0,0.8476190476190476,0.8364491475602586,0.14746880531311035
spectf_sim2,4,0.0,0.8,0.7906770255271921,0.13087773323059082
spectf_sim3,16,0.0001,0.8666666666666667,0.8510770354143847,0.2985391616821289
spectf_sim4,16,0.0001,0.9238095238095239,0.9196190476190477,0.391141414642334
spectf_sim5,2,0.0,0.8761904761904762,0.8682807284404445,0.13051152229309082
spectf_sim6,16,0.0,0.8380952380952381,0.8126727556371083,0.13029885292053223
spectf_sim7,8,0.0,0.8761904761904762,0.8682807284404445,0.14089107513427734
spectf_sim8,16,0.0001,0.8476190476190476,0.8258503401360544,0.2924227714538574
spectf_sim9,16,0.0001,0.8571428571428571,0.8386416535699366,0.3441174030303955
spectf_sim10,16,0.0001,0.8666666666666667,0.8510770354143847,0.3439476490020752
vehicle_sim1,4,0.0001,0.6456692913385826,0.6547054105643261,0.43696022033691406
vehicle_sim2,16,0.0001,0.6811023622047244,0.6863386088443998,0.5353455543518066
vehicle_sim3,16,0.0001,0.6456692913385826,0.6525029299320007,0.45430421829223633
vehicle_sim4,4,0.0,0.5708661417322834,0.5838611627050166,0.32227325439453125
vehicle_sim5,8,0.0001,0.6614173228346457,0.6668338209821275,0.4857494831085205
vehicle_sim6,2,0.0001,0.6889763779527559,0.6881937668039161,0.43466997146606445
vehicle_sim7,4,0.01,0.6299212598425197,0.6400969868603489,0.30317139625549316
vehicle_sim8,16,0.0001,0.6929133858267716,0.6989444262323962,0.6168978214263916
vehicle_sim9,16,0.0001,0.65748031496063,0.6686153571171326,0.574791669845581
vehicle_sim10,16,0.01,0.6181102362204725,0.6243599045983954,0.39405393600463867
wine_recognition_sim1,8,1.0,0.9074074074074074,0.905754312004312,0.050340890884399414
wine_recognition_sim2,4,0.0001,0.8888888888888888,0.8863169389485179,0.03374767303466797
wine_recognition_sim3,2,0.0001,0.9814814814814815,0.9814322628276115,0.03095388412475586
wine_recognition_sim4,4,0.0001,0.9074074074074074,0.9081647806587663,0.026726484298706055
wine_recognition_sim5,8,0.0001,0.9814814814814815,0.9815058961400425,0.041167497634887695
wine_recognition_sim6,8,0.0001,0.9259259259259259,0.9257955678245532,0.04105997085571289
wine_recognition_sim7,2,0.0,0.9629629629629629,0.9629970984809694,0.02623748779296875
wine_recognition_sim8,4,0.0001,0.9629629629629629,0.9629629629629629,0.030953645706176758
wine_recognition_sim9,2,0.0001,0.9074074074074074,0.9060888130655572,0.03396487236022949
wine_recognition_sim10,2,0.0001,0.9444444444444444,0.9440179382039848,0.02775287628173828
