Dataset,Number of Hyperboxes,Gamma Values,Accuracy,F1_Score,Time
sonar_sim10,16,N/A,0.7777777777777778,0.7716959064327485,21.684598445892334
spectf_sim1,8,N/A,0.780952380952381,0.752583868807236,20.87989354133606
spectf_sim2,16,N/A,0.7714285714285715,0.7447034892818026,22.3043053150177
spectf_sim3,16,N/A,0.780952380952381,0.766958211856171,22.472704887390137
spectf_sim4,8,N/A,0.8285714285714286,0.808527616961352,21.24776554107666
spectf_sim5,2,N/A,0.8285714285714286,0.8040816326530612,20.39568591117859
spectf_sim6,16,N/A,0.8,0.7623931623931623,23.064263820648193
spectf_sim7,16,N/A,0.7333333333333333,0.6786617707058343,23.22877597808838
spectf_sim8,16,N/A,0.819047619047619,0.7956127611885863,23.65362811088562
spectf_sim9,16,N/A,0.819047619047619,0.7906342563002976,674.3269674777985
spectf_sim10,16,N/A,0.8285714285714286,0.8040816326530612,28.5154287815094
vehicle_sim1,16,N/A,0.6338582677165354,0.6264845321553151,14.668343305587769
vehicle_sim2,8,N/A,0.6220472440944882,0.6211037766809899,17.306121110916138
vehicle_sim3,16,N/A,0.6299212598425197,0.6162187496620108,14.403943061828613
vehicle_sim4,16,N/A,0.6496062992125984,0.6370401218931603,15.150156497955322
vehicle_sim5,16,N/A,0.6614173228346457,0.650914782133648,14.95743727684021
vehicle_sim6,8,N/A,0.6141732283464567,0.6110276118909193,18.448673009872437
vehicle_sim7,16,N/A,0.6692913385826772,0.6632367406937523,16.38507390022278
vehicle_sim8,16,N/A,0.6771653543307087,0.6708119586538934,15.98496961593628
vehicle_sim9,16,N/A,0.6338582677165354,0.6349800959019154,17.095829010009766
vehicle_sim10,16,N/A,0.6417322834645669,0.6381717003900229,17.125699520111084
wine_recognition_sim1,2,N/A,0.9629629629629629,0.9627153891859774,5.357920408248901
wine_recognition_sim2,4,N/A,0.9074074074074074,0.9079685746352413,7.611969470977783
wine_recognition_sim3,4,N/A,0.9629629629629629,0.9628939284111699,7.946072340011597
wine_recognition_sim4,2,N/A,0.9259259259259259,0.9267344619007024,6.16114068031311
wine_recognition_sim5,2,N/A,0.9444444444444444,0.9448258890119355,6.210805654525757
wine_recognition_sim6,4,N/A,0.9629629629629629,0.9632208787381201,8.344398498535156
wine_recognition_sim7,4,N/A,0.9814814814814815,0.9813775282901185,8.71679425239563
wine_recognition_sim8,2,N/A,0.9814814814814815,0.9813775282901185,6.946848154067993
wine_recognition_sim9,16,N/A,0.9444444444444444,0.9441325848703556,12.74594497680664
wine_recognition_sim10,2,N/A,0.9629629629629629,0.9632208787381201,7.231043577194214
